HOTEL_NAME,ADDRESS,COMMUNITY,Parish,Longitude,Latitude
Hotel Versalles,42 Longbridge Rd. May Pen P.O,May Pen,Clarendon,-77.88358697,18.5168814
Milk River MineraL Sp,Milk River P.O.,Milk River,Clarendon,-77.65670675,18.49632278
J.J'S Guest House,P.O. Box 20,Green Island,Hanover,-77.87646703,18.5048083
Round Hill Hotel,Hopewell P.O. Box 64 Montego,Hopewell,Hanover,-77.32492091,18.45668283
Walcome Wharf,,Hopewell,Hanover,-76.89523172,18.40435483
Global Villa,"Esher, Lucea P.O.",Lucea,Hanover,-77.9288916,18.44036064
West Palm Hotel,Fort Charlotte Dr. Lucea P.O.,Lucea,Hanover,-76.88767224,18.37107102
Grand Lido (All Inclu,"N.M. Boulevard, P.O. Box 88,",Negril,Hanover,-77.92702595,"18.489067342,"
Hedonism 2 (All Inclu,"N.M. Boulevard, P.O. Box 25,",Negril,Hanover,-77.92247555,18.47015468
Hotel Riu,Tropical Bay Bloody Bay Negri,Negril,Hanover,-77.8974926,18.47606972
Negril Gardens Beach,"N.M. Boulevard P.O. Box 3058,",Negril,Hanover,-77.53779397,18.48487481
Sandals Negril (All I,"N.M. Boulevard, P.O. Box 2 Ne",Negril,Hanover,-77.31367934,18.452956
Blue Bird,P.O. Box 1206,Sandy Bay,Hanover,-78.35431428,18.24379446
Calabash Villa,"Tryall Beach, P.O. Box 1206",Sandy Bay,Hanover,-78.33999559,18.33842233
Calypso Villa,"P.O. Box 1206, Montego Bay",Sandy Bay,Hanover,-78.33989943,18.2915623
Ceilo Villa,"Tryall Beach, P.O. Box 1206",Sandy Bay,Hanover,-78.33725675,18.32073746
Clive House,Montego Bay P.O. Box 1206,Sandy Bay,Hanover,-78.26776013,18.22023386
Hart House,c/o Tryall  Golf & Tennis Bea,Sandy Bay,Hanover,-77.92366187,18.46182938
Linger Longer,"P.O. Box 1206, Montego Bay",Sandy Bay,Hanover,-77.85112957,18.51422362
Little Hill Villla,"P.O. Box 1206, Montego Bay P.",Sandy Bay,Hanover,-77.85074507,18.02476235
Round House Villa,Tryall Beach,Sandy Bay,Hanover,-77.32448742,18.46335583
Florizel Court,Lucea P.O.,Spanish Hill,Hanover,-77.96920407,18.44999403
Balbec Villa,"c/o Tryall Villas, P.O. Box 1",Tryall,Hanover,-78.36456406,18.26067061
Bumper's Nest Villa,P.O. Box 1206,Tryall,Hanover,-78.34080442,"18.289208112,"
Coo - Yah,"P.O. Box 1206, Montego Bay",Tryall,Hanover,-78.07632373,18.45109963
Count's Cottage,"P.O. Box 1206, Montego Bay",Tryall,Hanover,-78.06151925,18.44699991
Eagles Nest Villa,Montego Bay P.O. Box 1206,Tryall,Hanover,-78.05411934,18.44828823
Elysian Plain,"c/o Tryall Villas, P.O. Box 1",Tryall,Hanover,-78.052863,18.44451343
Eureka Villa,"Montego Bay, P.O. Box 1206",Tryall,Hanover,-78.02726793,18.16901848
Eve Song,"Tryall Club & Villas, Montego",Tryall,Hanover,-78.01525801,18.4554632
Fairwinds Villa,"Tryall Club Resorts & Villas,",Tryall,Hanover,-77.99216842,18.44268003
Fern Hill,"P.O. Box 1206, Montego Bay P.",Tryall,Hanover,-77.98706625,18.44944593
First Look Villa,"P.O. Box 1206, Montego Bay P.",Tryall,Hanover,-77.97475347,18.10696633
Following Seas Villa,"P.O. Box 1206, Montego Bay P.",Tryall,Hanover,-77.96706281,18.39159591
Folly Villa,"P.O. Box 1206, Montego Bay P.",Tryall,Hanover,-77.96658423,18.43483793
Halcyon Villa,"P.O. Box 1206, Montego Bay P.",Tryall,Hanover,-77.924234,18.46773476
Heron Cove,"Tryall Club Resort, P.O. Box",Tryall,Hanover,-77.92104608,18.47609664
